name,type1,type2,ability1,ability2,ability3,formats,hp,atk,def,spa,spd,spe
Joltik,"Bug
Electric",,Compound Eyes,Swarm,Unnerve,['LC'],"HP
50","Atk
47","Def
50","SpA
57","SpD
50","Spe
65"
Jumbao,"Grass
Fairy",,Trace,Drought,Overcoat,['CAP'],"HP
92","Atk
63","Def
97","SpA
124","SpD
104","Spe
96"
Jumpluff,"Grass
Flying",,Chlorophyll,Infiltrator,Leaf Guard,['ZU'],"HP
75","Atk
55","Def
70","SpA
55","SpD
95","Spe
110"
Justyke,"Steel
Ground",,Levitate,Justified,Bulletproof,[],"HP
72","Atk
70","Def
56","SpA
83","SpD
68","Spe
30"
Jynx,"Ice
Psychic",,Oblivious,Dry Skin,Forewarn,['National Dex'],"HP
65","Atk
50","Def
35","SpA
115","SpD
95","Spe
95"
Kabuto,"Rock
Water",,Swift Swim,Weak Armor,Battle Armor,['National Dex'],"HP
30","Atk
80","Def
90","SpA
55","SpD
45","Spe
55"
Kabutops,"Rock
Water",,Swift Swim,Weak Armor,Battle Armor,['National Dex'],"HP
60","Atk
115","Def
105","SpA
65","SpD
70","Spe
80"
Kadabra,Psychic,,Synchronize,Magic Guard,Inner Focus,['National Dex'],"HP
40","Atk
35","Def
30","SpA
120","SpD
70","Spe
105"
Kakuna,"Bug
Poison",,Shed Skin,,,['National Dex'],"HP
45","Atk
25","Def
50","SpA
25","SpD
25","Spe
35"
Kangaskhan,Normal,,Early Bird,Inner Focus,Scrappy,['National Dex'],"HP
105","Atk
95","Def
80","SpA
40","SpD
80","Spe
90"
Kangaskhan-Mega,Normal,,Parental Bond,,,['National Dex'],"HP
105","Atk
125","Def
100","SpA
60","SpD
100","Spe
100"
Karrablast,Bug,,Swarm,No Guard,Shed Skin,['National Dex'],"HP
50","Atk
75","Def
45","SpA
40","SpD
45","Spe
60"
Kartana,"Grass
Steel",,Beast Boost,,,['National Dex'],"HP
59","Atk
181","Def
131","SpA
59","SpD
31","Spe
109"
Kecleon,Normal,,Color Change,Protean,,['National Dex'],"HP
60","Atk
90","Def
70","SpA
60","SpD
120","Spe
40"
Keldeo,"Water
Fighting",,Justified,,,['UU'],"HP
91","Atk
72","Def
90","SpA
129","SpD
90","Spe
108"
Keldeo-Resolute,"Water
Fighting",,Justified,,,['UU'],"HP
91","Atk
72","Def
90","SpA
129","SpD
90","Spe
108"
Kerfluffle,"Fairy
Fighting",,Natural Cure,Friend Guard,Aroma Veil,['CAP'],"HP
84","Atk
78","Def
86","SpA
115","SpD
88","Spe
119"
Kilowattrel,"Electric
Flying",,Wind Power,Competitive,"Volt Absorb
This Pokemon heals 1/4 of its max HP when hit by Electric moves; Electric immunity.",['NU'],"HP
70","Atk
70","Def
60","SpA
105","SpD
60","Spe
125"
Kingambit,"Dark
Steel",,Defiant,Pressure,Supreme Overlord,['OU'],"HP
100","Atk
135","Def
120","SpA
60","SpD
85","Spe
50"
Kingdra,"Water
Dragon",,Swift Swim,Damp,Sniper,['ZUBL'],"HP
75","Atk
95","Def
95","SpA
95","SpD
95","Spe
85"
Kingler,Water,,Hyper Cutter,Sheer Force,Shell Armor,['National Dex'],"HP
55","Atk
130","Def
115","SpA
50","SpD
50","Spe
75"
Kingler-Gmax,Water,,Hyper Cutter,Sheer Force,Shell Armor,['National Dex'],"HP
55","Atk
130","Def
115","SpA
50","SpD
50","Spe
75"
Kirlia,"Psychic
Fairy",,Synchronize,Telepathy,Trace,['NFE'],"HP
38","Atk
35","Def
35","SpA
65","SpD
55","Spe
50"
Kitsunoh,"Ghost
Steel",,Frisk,Trace,Limber,['CAP'],"HP
80","Atk
117","Def
85","SpA
55","SpD
80","Spe
128"
Klang,Steel,,Plus,Clear Body,Minus,['National Dex'],"HP
60","Atk
80","Def
95","SpA
70","SpD
85","Spe
50"
Klawf,Rock,,Anger Shell,Regenerator,Shell Armor,['ZU'],"HP
70","Atk
100","Def
115","SpA
35","SpD
55","Spe
75"
Kleavor,"Bug
Rock",,Swarm,Sharpness,Sheer Force,['RU'],"HP
70","Atk
135","Def
95","SpA
45","SpD
70","Spe
85"
Klefki,"Steel
Fairy",,Prankster,Magician,,['NU'],"HP
57","Atk
80","Def
91","SpA
80","SpD
87","Spe
75"
Klink,Steel,,Plus,Clear Body,Minus,['National Dex'],"HP
40","Atk
55","Def
70","SpA
45","SpD
60","Spe
30"
Klinklang,Steel,,Plus,Clear Body,Minus,['National Dex'],"HP
60","Atk
100","Def
115","SpA
70","SpD
85","Spe
90"
Koffing,Poison,,Levitate,Stench,Neutralizing Gas,['LC'],"HP
40","Atk
65","Def
95","SpA
60","SpD
45","Spe
35"
Komala,Normal,,Comatose,,,['ZU'],"HP
65","Atk
115","Def
65","SpA
75","SpD
95","Spe
65"
Kommo-o,"Dragon
Fighting",,Bulletproof,Overcoat,Soundproof,['UUBL'],"HP
75","Atk
110","Def
125","SpA
100","SpD
105","Spe
85"
Kommo-o-Totem,"Dragon
Fighting",,Overcoat,,,['National Dex'],"HP
75","Atk
110","Def
125","SpA
100","SpD
105","Spe
85"
Koraidon,"Fighting
Dragon",,Orichalcum Pulse,,,['Uber'],"HP
100","Atk
135","Def
115","SpA
85","SpD
100","Spe
135"
Krabby,Water,,Hyper Cutter,Sheer Force,Shell Armor,['National Dex'],"HP
30","Atk
105","Def
90","SpA
25","SpD
25","Spe
50"
Kricketot,Bug,,Shed Skin,Run Away,,['LC'],"HP
37","Atk
25","Def
41","SpA
25","SpD
41","Spe
25"
Kricketune,Bug,,Swarm,Technician,,['ZU'],"HP
77","Atk
85","Def
51","SpA
55","SpD
51","Spe
65"
Krilowatt,"Electric
Water",,Trace,Minus,Magic Guard,['CAP'],"HP
151","Atk
84","Def
73","SpA
83","SpD
74","Spe
105"
Krokorok,"Ground
Dark",,Intimidate,Anger Point,Moxie,['NFE'],"HP
60","Atk
82","Def
45","SpA
45","SpD
45","Spe
74"
Krookodile,"Ground
Dark",,Intimidate,Anger Point,Moxie,['RU'],"HP
95","Atk
117","Def
80","SpA
65","SpD
70","Spe
92"
Kubfu,Fighting,,Inner Focus,,,['NFE'],"HP
60","Atk
90","Def
60","SpA
53","SpD
50","Spe
72"
Kyogre,Water,,Drizzle,,,['Uber'],"HP
100","Atk
100","Def
90","SpA
150","SpD
140","Spe
90"
Kyogre-Primal,Water,,Primordial Sea,,,['National Dex'],"HP
100","Atk
150","Def
90","SpA
180","SpD
160","Spe
90"
Kyurem,"Dragon
Ice",,Pressure,,,['OU'],"HP
125","Atk
130","Def
90","SpA
130","SpD
90","Spe
95"
Kyurem-Black,"Dragon
Ice",,Teravolt,,,['Uber'],"HP
125","Atk
170","Def
100","SpA
120","SpD
90","Spe
95"
Kyurem-White,"Dragon
Ice",,Turboblaze,,,['Uber'],"HP
125","Atk
120","Def
90","SpA
170","SpD
100","Spe
95"
Lairon,"Steel
Rock",,Sturdy,Heavy Metal,Rock Head,['National Dex'],"HP
60","Atk
90","Def
140","SpA
50","SpD
50","Spe
40"
Lampent,"Ghost
Fire",,Flash Fire,Infiltrator,Flame Body,['NFE'],"HP
60","Atk
40","Def
60","SpA
95","SpD
60","Spe
55"
Landorus,"Ground
Flying",,Sand Force,Sheer Force,,['Uber'],"HP
89","Atk
125","Def
90","SpA
115","SpD
80","Spe
101"
Landorus-Therian,"Ground
Flying",,Intimidate,,,['OU'],"HP
89","Atk
145","Def
90","SpA
105","SpD
80","Spe
91"
Lanturn,"Water
Electric",,Volt Absorb,Water Absorb,Illuminate,['ZU'],"HP
125","Atk
58","Def
58","SpA
76","SpD
76","Spe
67"
Lapras,"Water
Ice",,Water Absorb,Hydration,Shell Armor,['ZU'],"HP
130","Atk
85","Def
80","SpA
85","SpD
95","Spe
60"
Lapras-Gmax,"Water
Ice",,Water Absorb,Hydration,Shell Armor,['National Dex'],"HP
130","Atk
85","Def
80","SpA
85","SpD
95","Spe
60"
Larvesta,"Bug
Fire",,Flame Body,Swarm,,['LC'],"HP
55","Atk
85","Def
55","SpA
50","SpD
55","Spe
60"
Larvitar,"Rock
Ground",,Guts,Sand Veil,,['LC'],"HP
50","Atk
64","Def
50","SpA
45","SpD
50","Spe
41"
Latias,"Dragon
Psychic",,Levitate,,,['UUBL'],"HP
80","Atk
80","Def
90","SpA
110","SpD
130","Spe
110"
Latias-Mega,"Dragon
Psychic",,Levitate,,,['National Dex'],"HP
80","Atk
100","Def
120","SpA
140","SpD
150","Spe
110"
Latios,"Dragon
Psychic",,Levitate,,,['UU'],"HP
80","Atk
90","Def
80","SpA
130","SpD
110","Spe
110"
Latios-Mega,"Dragon
Psychic",,Levitate,,,['National Dex'],"HP
80","Atk
130","Def
100","SpA
160","SpD
120","Spe
110"
Leafeon,Grass,,Leaf Guard,Chlorophyll,,['ZU'],"HP
65","Atk
110","Def
130","SpA
60","SpD
65","Spe
95"
Leavanny,"Bug
Grass",,Swarm,Overcoat,Chlorophyll,['ZU'],"HP
75","Atk
103","Def
80","SpA
70","SpD
80","Spe
92"
Lechonk,Normal,,Aroma Veil,Thick Fat,Gluttony,['LC'],"HP
54","Atk
45","Def
40","SpA
35","SpD
45","Spe
35"
Ledian,"Bug
Flying",,Swarm,Iron Fist,Early Bird,['National Dex'],"HP
55","Atk
35","Def
50","SpA
55","SpD
110","Spe
85"
Ledyba,"Bug
Flying",,Swarm,Rattled,Early Bird,['National Dex'],"HP
40","Atk
20","Def
30","SpA
40","SpD
80","Spe
55"
Lickilicky,Normal,,Own Tempo,Cloud Nine,Oblivious,['National Dex'],"HP
110","Atk
85","Def
95","SpA
80","SpD
95","Spe
50"
Lickitung,Normal,,Own Tempo,Cloud Nine,Oblivious,['National Dex'],"HP
90","Atk
55","Def
75","SpA
60","SpD
75","Spe
30"
Liepard,Dark,,Limber,Prankster,Unburden,['National Dex'],"HP
64","Atk
88","Def
50","SpA
88","SpD
50","Spe
106"
Lileep,"Rock
Grass",,Suction Cups,Storm Drain,,['National Dex'],"HP
66","Atk
41","Def
77","SpA
61","SpD
87","Spe
23"
Lilligant,Grass,,Chlorophyll,Leaf Guard,Own Tempo,['ZU'],"HP
70","Atk
60","Def
75","SpA
110","SpD
75","Spe
90"
Lilligant-Hisui,"Grass
Fighting",,Chlorophyll,Leaf Guard,Hustle,['NUBL'],"HP
70","Atk
105","Def
75","SpA
50","SpD
75","Spe
105"
Lillipup,Normal,,Vital Spirit,Run Away,Pickup,['National Dex'],"HP
45","Atk
60","Def
45","SpA
25","SpD
45","Spe
55"
Linoone,Normal,,Pickup,Quick Feet,Gluttony,['National Dex'],"HP
78","Atk
70","Def
61","SpA
50","SpD
61","Spe
100"
Linoone-Galar,"Dark
Normal",,Pickup,Quick Feet,Gluttony,['National Dex'],"HP
78","Atk
70","Def
61","SpA
50","SpD
61","Spe
100"
Litleo,"Fire
Normal",,Rivalry,Moxie,Unnerve,['LC'],"HP
62","Atk
50","Def
58","SpA
73","SpD
54","Spe
72"
Litten,Fire,,Blaze,Intimidate,,['LC'],"HP
45","Atk
65","Def
40","SpA
60","SpD
40","Spe
70"
Litwick,"Ghost
Fire",,Flash Fire,Infiltrator,Flame Body,['LC'],"HP
50","Atk
30","Def
55","SpA
65","SpD
55","Spe
20"
Lokix,"Bug
Dark",,Swarm,Tinted Lens,,['UU'],"HP
71","Atk
102","Def
78","SpA
52","SpD
55","Spe
92"
Lombre,"Water
Grass",,Swift Swim,Own Tempo,Rain Dish,['NFE'],"HP
60","Atk
50","Def
50","SpA
60","SpD
70","Spe
50"
Lopunny,Normal,,Cute Charm,Limber,Klutz,['National Dex'],"HP
65","Atk
76","Def
84","SpA
54","SpD
96","Spe
105"
Lopunny-Mega,"Normal
Fighting",,Scrappy,,,['National Dex'],"HP
65","Atk
136","Def
94","SpA
54","SpD
96","Spe
135"
Lotad,"Water
Grass",,Swift Swim,Own Tempo,Rain Dish,['LC'],"HP
40","Atk
30","Def
30","SpA
40","SpD
50","Spe
30"
Loudred,Normal,,Soundproof,Scrappy,,['National Dex'],"HP
84","Atk
71","Def
43","SpA
71","SpD
43","Spe
48"
Lucario,"Fighting
Steel",,Steadfast,Justified,Inner Focus,['NUBL'],"HP
70","Atk
110","Def
70","SpA
115","SpD
70","Spe
90"
Lucario-Mega,"Fighting
Steel",,Adaptability,,,['National Dex'],"HP
70","Atk
145","Def
88","SpA
140","SpD
70","Spe
112"
Ludicolo,"Water
Grass",,Swift Swim,Own Tempo,Rain Dish,['ZU'],"HP
80","Atk
70","Def
70","SpA
90","SpD
100","Spe
70"
Lugia,"Psychic
Flying",,Pressure,Multiscale,,['Uber'],"HP
106","Atk
90","Def
130","SpA
90","SpD
154","Spe
110"
Lumineon,Water,,Swift Swim,Water Veil,Storm Drain,['ZU'],"HP
69","Atk
69","Def
76","SpA
69","SpD
86","Spe
91"
Lunala,"Psychic
Ghost",,Shadow Shield,,,['Uber'],"HP
137","Atk
113","Def
89","SpA
137","SpD
107","Spe
97"
Lunatone,"Rock
Psychic",,Levitate,,,['National Dex'],"HP
90","Atk
55","Def
65","SpA
95","SpD
85","Spe
70"
Lurantis,Grass,,Leaf Guard,Contrary,,['ZU'],"HP
70","Atk
105","Def
90","SpA
80","SpD
90","Spe
45"
Lurantis-Totem,Grass,,Leaf Guard,,,['National Dex'],"HP
70","Atk
105","Def
90","SpA
80","SpD
90","Spe
45"
Luvdisc,Water,,Swift Swim,Hydration,,['ZU'],"HP
43","Atk
30","Def
55","SpA
40","SpD
65","Spe
97"
Luxio,Electric,,Rivalry,Guts,Intimidate,['NFE'],"HP
60","Atk
85","Def
49","SpA
60","SpD
49","Spe
60"
Luxray,Electric,,Rivalry,Guts,Intimidate,['ZU'],"HP
80","Atk
120","Def
79","SpA
95","SpD
79","Spe
70"
Lycanroc,Rock,,Keen Eye,Steadfast,Sand Rush,['ZU'],"HP
75","Atk
115","Def
65","SpA
55","SpD
65","Spe
112"
Lycanroc-Dusk,Rock,,Tough Claws,,,['NUBL'],"HP
75","Atk
117","Def
65","SpA
55","SpD
65","Spe
110"
Lycanroc-Midnight,Rock,,Keen Eye,No Guard,Vital Spirit,['ZU'],"HP
85","Atk
115","Def
75","SpA
55","SpD
75","Spe
82"
Mabosstiff,Dark,,Intimidate,Stakeout,Guard Dog,['ZU'],"HP
80","Atk
120","Def
90","SpA
60","SpD
70","Spe
85"
Machamp,Fighting,,Guts,Steadfast,No Guard,['National Dex'],"HP
90","Atk
130","Def
80","SpA
65","SpD
85","Spe
55"
Machamp-Gmax,Fighting,,Guts,Steadfast,No Guard,['National Dex'],"HP
90","Atk
130","Def
80","SpA
65","SpD
85","Spe
55"
Machoke,Fighting,,Guts,Steadfast,No Guard,['National Dex'],"HP
80","Atk
100","Def
70","SpA
50","SpD
60","Spe
45"
Machop,Fighting,,Guts,Steadfast,No Guard,['National Dex'],"HP
70","Atk
80","Def
50","SpA
35","SpD
35","Spe
35"
Magby,Fire,,Flame Body,Vital Spirit,,['LC'],"HP
45","Atk
75","Def
37","SpA
70","SpD
55","Spe
83"
Magcargo,"Fire
Rock",,Magma Armor,Weak Armor,Flame Body,['ZU'],"HP
60","Atk
50","Def
120","SpA
90","SpD
80","Spe
30"
Magearna,"Steel
Fairy",,Soul-Heart,,,['Uber'],"HP
80","Atk
95","Def
115","SpA
130","SpD
115","Spe
65"
Magearna-Original,"Steel
Fairy",,Soul-Heart,,,['Uber'],"HP
80","Atk
95","Def
115","SpA
130","SpD
115","Spe
65"
Magikarp,Water,,Swift Swim,Rattled,,['LC'],"HP
20","Atk
10","Def
55","SpA
15","SpD
20","Spe
80"
Magmar,Fire,,Flame Body,Vital Spirit,,['NFE'],"HP
65","Atk
95","Def
57","SpA
100","SpD
85","Spe
93"
Magmortar,Fire,,Flame Body,Vital Spirit,,['ZU'],"HP
75","Atk
95","Def
67","SpA
125","SpD
95","Spe
83"
Magnemite,"Electric
Steel",,Magnet Pull,Analytic,Sturdy,['LC'],"HP
25","Atk
35","Def
70","SpA
95","SpD
55","Spe
45"
Magneton,"Electric
Steel",,Magnet Pull,Analytic,Sturdy,['ZU'],"HP
50","Atk
60","Def
95","SpA
120","SpD
70","Spe
70"
Magnezone,"Electric
Steel",,Magnet Pull,Analytic,Sturdy,['RU'],"HP
70","Atk
70","Def
115","SpA
130","SpD
90","Spe
60"
Makuhita,Fighting,,Thick Fat,Sheer Force,Guts,['LC'],"HP
72","Atk
60","Def
30","SpA
20","SpD
30","Spe
25"
Malaconda,"Dark
Grass",,Harvest,Drought,Infiltrator,['CAP'],"HP
115","Atk
100","Def
60","SpA
40","SpD
130","Spe
55"
Malamar,"Dark
Psychic",,Contrary,Infiltrator,Suction Cups,['ZU'],"HP
86","Atk
92","Def
88","SpA
68","SpD
75","Spe
73"
Mamoswine,"Ice
Ground",,Oblivious,Thick Fat,Snow Cloak,['UU'],"HP
110","Atk
130","Def
80","SpA
70","SpD
60","Spe
80"
Manaphy,Water,,Hydration,,,['RUBL'],"HP
100","Atk
100","Def
100","SpA
100","SpD
100","Spe
100"
Mandibuzz,"Dark
Flying",,Big Pecks,Weak Armor,Overcoat,['UU'],"HP
110","Atk
65","Def
105","SpA
55","SpD
95","Spe
80"
Manectric,Electric,,Static,Minus,Lightning Rod,['National Dex'],"HP
70","Atk
75","Def
60","SpA
105","SpD
60","Spe
105"
Manectric-Mega,Electric,,Intimidate,,,['National Dex'],"HP
70","Atk
75","Def
80","SpA
135","SpD
80","Spe
135"
Mankey,Fighting,,Vital Spirit,Defiant,Anger Point,['LC'],"HP
40","Atk
80","Def
35","SpA
35","SpD
45","Spe
70"
Mantine,"Water
Flying",,Swift Swim,Water Veil,Water Absorb,['National Dex'],"HP
85","Atk
40","Def
70","SpA
80","SpD
140","Spe
70"
Mantyke,"Water
Flying",,Swift Swim,Water Veil,Water Absorb,['National Dex'],"HP
45","Atk
20","Def
50","SpA
60","SpD
120","Spe
50"
Maractus,Grass,,Water Absorb,Storm Drain,Chlorophyll,['National Dex'],"HP
75","Atk
86","Def
67","SpA
106","SpD
67","Spe
60"
Mareanie,"Poison
Water",,Merciless,Regenerator,Limber,['LC'],"HP
50","Atk
53","Def
62","SpA
43","SpD
52","Spe
45"
Mareep,Electric,,Static,Plus,,['LC'],"HP
55","Atk
40","Def
40","SpA
65","SpD
45","Spe
35"
Marill,"Water
Fairy",,Thick Fat,Sap Sipper,Huge Power,['NFE'],"HP
70","Atk
20","Def
50","SpA
20","SpD
50","Spe
40"
Marowak,Ground,,Rock Head,Battle Armor,Lightning Rod,['National Dex'],"HP
60","Atk
80","Def
110","SpA
50","SpD
80","Spe
45"
Marowak-Alola,"Fire
Ghost",,Cursed Body,Rock Head,Lightning Rod,['National Dex'],"HP
60","Atk
80","Def
110","SpA
50","SpD
80","Spe
45"
Marowak-Alola-Totem,"Fire
Ghost",,Rock Head,,,['National Dex'],"HP
60","Atk
80","Def
110","SpA
50","SpD
80","Spe
45"
Marshadow,"Fighting
Ghost",,Technician,,,['National Dex'],"HP
90","Atk
125","Def
80","SpA
90","SpD
90","Spe
125"
Marshtomp,"Water
Ground",,Torrent,Damp,,['NFE'],"HP
70","Atk
85","Def
70","SpA
60","SpD
70","Spe
50"
Maschiff,Dark,,Intimidate,Stakeout,Run Away,['LC'],"HP
60","Atk
78","Def
60","SpA
40","SpD
51","Spe
51"
Masquerain,"Bug
Flying",,Intimidate,Unnerve,,['ZU'],"HP
70","Atk
60","Def
62","SpA
100","SpD
82","Spe
80"
Maushold,Normal,,Friend Guard,Technician,Cheek Pouch,['RU'],"HP
74","Atk
75","Def
70","SpA
65","SpD
75","Spe
111"
Maushold-Four,Normal,,Friend Guard,Technician,Cheek Pouch,['RU'],"HP
74","Atk
75","Def
70","SpA
65","SpD
75","Spe
111"
Mawile,"Steel
Fairy",,Hyper Cutter,Sheer Force,Intimidate,['National Dex'],"HP
50","Atk
85","Def
85","SpA
55","SpD
55","Spe
50"
Mawile-Mega,"Steel
Fairy",,Huge Power,,,['National Dex'],"HP
50","Atk
105","Def
125","SpA
55","SpD
95","Spe
50"
Medicham,"Fighting
Psychic",,Pure Power,Telepathy,,['ZU'],"HP
60","Atk
60","Def
75","SpA
60","SpD
75","Spe
80"
Medicham-Mega,"Fighting
Psychic",,Pure Power,,,['National Dex'],"HP
60","Atk
100","Def
85","SpA
80","SpD
85","Spe
100"
Meditite,"Fighting
Psychic",,Pure Power,Telepathy,,['NFE'],"HP
30","Atk
40","Def
55","SpA
40","SpD
55","Spe
60"
Meganium,Grass,,Overgrow,Leaf Guard,,['ZU'],"HP
80","Atk
82","Def
100","SpA
83","SpD
100","Spe
80"
Melmetal,Steel,,Iron Fist,,,['National Dex'],"HP
135","Atk
143","Def
143","SpA
80","SpD
65","Spe
34"
Melmetal-Gmax,Steel,,Iron Fist,,,['National Dex'],"HP
135","Atk
143","Def
143","SpA
80","SpD
65","Spe
34"
Meloetta,"Normal
Psychic",,Serene Grace,,,['PU'],"HP
100","Atk
77","Def
77","SpA
128","SpD
128","Spe
90"
Meloetta-Pirouette,"Normal
Fighting",,Serene Grace,,,['PU'],"HP
100","Atk
128","Def
90","SpA
77","SpD
77","Spe
128"
Meltan,Steel,,Magnet Pull,,,['National Dex'],"HP
46","Atk
65","Def
65","SpA
55","SpD
35","Spe
34"
Meowscarada,"Grass
Dark",,Overgrow,Protean,,['OU'],"HP
76","Atk
110","Def
70","SpA
81","SpD
70","Spe
123"
Meowstic-F,Psychic,,Keen Eye,Competitive,Infiltrator,['ZU'],"HP
74","Atk
48","Def
76","SpA
83","SpD
81","Spe
104"
Meowstic-M,Psychic,,Keen Eye,Prankster,Infiltrator,['ZU'],"HP
74","Atk
48","Def
76","SpA
83","SpD
81","Spe
104"
Meowth,Normal,,Pickup,Unnerve,Technician,['LC'],"HP
40","Atk
45","Def
35","SpA
40","SpD
40","Spe
90"
Meowth-Alola,Dark,,Pickup,Rattled,Technician,['LC'],"HP
40","Atk
35","Def
35","SpA
50","SpD
40","Spe
90"
Meowth-Galar,Steel,,Pickup,Unnerve,Tough Claws,['LC'],"HP
50","Atk
65","Def
55","SpA
40","SpD
40","Spe
40"
Meowth-Gmax,Normal,,Pickup,Unnerve,Technician,['National Dex'],"HP
40","Atk
45","Def
35","SpA
40","SpD
40","Spe
90"
Mesprit,Psychic,,Levitate,,,['ZU'],"HP
80","Atk
105","Def
105","SpA
105","SpD
105","Spe
80"
Metagross,"Steel
Psychic",,Clear Body,Light Metal,,['UU'],"HP
80","Atk
135","Def
130","SpA
95","SpD
90","Spe
70"
Metagross-Mega,"Steel
Psychic",,Tough Claws,,,['National Dex'],"HP
80","Atk
145","Def
150","SpA
105","SpD
110","Spe
110"
Metang,"Steel
Psychic",,Clear Body,Light Metal,,['NFE'],"HP
60","Atk
75","Def
100","SpA
55","SpD
80","Spe
50"
Metapod,Bug,,Shed Skin,,,['National Dex'],"HP
50","Atk
20","Def
55","SpA
25","SpD
25","Spe
30"
Mew,Psychic,,Synchronize,,,['NUBL'],"HP
100","Atk
100","Def
100","SpA
100","SpD
100","Spe
100"
Mewtwo,Psychic,,Pressure,Unnerve,,['Uber'],"HP
106","Atk
110","Def
90","SpA
154","SpD
90","Spe
130"
Mewtwo-Mega-X,"Psychic
Fighting",,Steadfast,,,['National Dex'],"HP
106","Atk
190","Def
100","SpA
154","SpD
100","Spe
130"
Mewtwo-Mega-Y,Psychic,,Insomnia,,,['National Dex'],"HP
106","Atk
150","Def
70","SpA
194","SpD
120","Spe
140"
Miasmaw,"Bug
Dragon",,Neutralizing Gas,Compound Eyes,Hyper Cutter,['CAP'],"HP
85","Atk
135","Def
60","SpA
88","SpD
105","Spe
99"
Miasmite,"Bug
Dragon",,Neutralizing Gas,Compound Eyes,Hyper Cutter,[],"HP
40","Atk
85","Def
60","SpA
52","SpD
52","Spe
44"
Mienfoo,Fighting,,Inner Focus,Reckless,Regenerator,['LC'],"HP
45","Atk
85","Def
50","SpA
55","SpD
50","Spe
65"
Mienshao,Fighting,,Inner Focus,Reckless,Regenerator,['NU'],"HP
65","Atk
125","Def
60","SpA
95","SpD
60","Spe
105"
Mightyena,Dark,,Intimidate,Moxie,Quick Feet,['ZU'],"HP
70","Atk
90","Def
70","SpA
60","SpD
60","Spe
70"
Milcery,Fairy,,Sweet Veil,Aroma Veil,,['LC'],"HP
45","Atk
40","Def
40","SpA
50","SpD
61","Spe
34"
Milotic,Water,,Marvel Scale,Cute Charm,Competitive,['NU'],"HP
95","Atk
60","Def
79","SpA
100","SpD
125","Spe
81"
Miltank,Normal,,Thick Fat,Sap Sipper,Scrappy,['National Dex'],"HP
95","Atk
80","Def
105","SpA
40","SpD
70","Spe
100"
Mime Jr.,"Psychic
Fairy",,Soundproof,Technician,Filter,['National Dex'],"HP
20","Atk
25","Def
45","SpA
70","SpD
90","Spe
60"
Mimikyu,"Ghost
Fairy",,Disguise,,,['RU'],"HP
55","Atk
90","Def
80","SpA
50","SpD
105","Spe
96"
Mimikyu-Busted,"Ghost
Fairy",,Disguise,,,['RU'],"HP
55","Atk
90","Def
80","SpA
50","SpD
105","Spe
96"
Mimikyu-Busted-Totem,"Ghost
Fairy",,Disguise,,,['National Dex'],"HP
55","Atk
90","Def
80","SpA
50","SpD
105","Spe
96"
Mimikyu-Totem,"Ghost
Fairy",,Disguise,,,['National Dex'],"HP
55","Atk
90","Def
80","SpA
50","SpD
105","Spe
96"
Minccino,Normal,,Cute Charm,Skill Link,Technician,['LC'],"HP
55","Atk
50","Def
40","SpA
40","SpD
40","Spe
75"
Minior,"Rock
Flying",,Shields Down,,,['PU'],"HP
60","Atk
100","Def
60","SpA
100","SpD
60","Spe
120"
Minior-Meteor,"Rock
Flying",,Shields Down,,,['PU'],"HP
60","Atk
60","Def
100","SpA
60","SpD
100","Spe
60"
Minun,Electric,,Minus,Volt Absorb,,['ZU'],"HP
60","Atk
40","Def
50","SpA
75","SpD
85","Spe
95"
Miraidon,"Electric
Dragon",,Hadron Engine,,,['AG'],"HP
100","Atk
85","Def
100","SpA
135","SpD
115","Spe
135"
Misdreavus,Ghost,,Levitate,,,['NFE'],"HP
60","Atk
60","Def
60","SpA
85","SpD
85","Spe
85"
Mismagius,Ghost,,Levitate,,,['ZU'],"HP
60","Atk
60","Def
60","SpA
105","SpD
105","Spe
105"
Mollux,"Fire
Poison",,Dry Skin,Illuminate,,['CAP'],"HP
95","Atk
45","Def
83","SpA
131","SpD
105","Spe
76"
Moltres,"Fire
Flying",,Pressure,Flame Body,,['OU'],"HP
90","Atk
100","Def
90","SpA
125","SpD
85","Spe
90"
Moltres-Galar,"Dark
Flying",,Berserk,,,['UUBL'],"HP
90","Atk
85","Def
90","SpA
100","SpD
125","Spe
90"
Monferno,"Fire
Fighting",,Blaze,Iron Fist,,['NFE'],"HP
64","Atk
78","Def
52","SpA
78","SpD
52","Spe
81"
Monohm,Electric,,Shield Dust,Damp,Static,[],"HP
53","Atk
40","Def
58","SpA
67","SpD
55","Spe
55"
Morelull,"Grass
Fairy",,Illuminate,Rain Dish,Effect Spore,['National Dex'],"HP
40","Atk
35","Def
55","SpA
65","SpD
75","Spe
15"
Morgrem,"Dark
Fairy",,Prankster,Pickpocket,Frisk,['NFE'],"HP
65","Atk
60","Def
45","SpA
75","SpD
55","Spe
70"
Morpeko,"Electric
Dark",,Hunger Switch,,,['ZU'],"HP
58","Atk
95","Def
58","SpA
70","SpD
58","Spe
97"
Morpeko-Hangry,"Electric
Dark",,Hunger Switch,,,['ZU'],"HP
58","Atk
95","Def
58","SpA
70","SpD
58","Spe
97"
Mothim,"Bug
Flying",,Swarm,Tinted Lens,,['National Dex'],"HP
70","Atk
94","Def
50","SpA
94","SpD
50","Spe
66"
